"id","name","nationality","nat_position","nat_kit","club","club_position","club_kit","club_join","contract_expiration","rate","height","weight","pref_foot","birth","age","pref_position"
47,"Henrikh Mkhitaryan","Armenia",,,"Manchester Utd","RW",22,"07/06/2016",2020,86,"177 cm","75 kg","Right","01/21/1989",28,"RM/CAM"
48,"Bernd Leno","Germany","Sub",12,"Bayer 04","GK",1,"01/01/2012",2018,86,"190 cm","83 kg","Right","03/04/1992",25,"GK"
49,"Thomas Müller","Germany","RM",13,"FC Bayern","CAM",25,"08/10/2008",2021,86,"186 cm","75 kg","Right","09/13/1989",27,"CF/CAM/ST"
50,"Sergio Busquets","Spain","CDM",5,"FC Barcelona","CDM",5,"09/01/2008",2021,86,"189 cm","76 kg","Right","07/16/1988",28,"CDM/CM"
51,"Thiago","Spain","Sub",10,"FC Bayern","RDM",6,"07/14/2013",2019,86,"174 cm","70 kg","Right","04/11/1991",25,"CM/CDM/LM"
52,"Jordi Alba","Spain","LB",18,"FC Barcelona","LCB",18,"07/01/2012",2020,86,"170 cm","68 kg","Left","03/21/1989",28,"LB"
53,"Coutinho","Brazil","RW",11,"Liverpool","LW",10,"01/30/2013",2022,86,"171 cm","68 kg","Right","06/12/1992",24,"LW/CAM"
54,"Ángel Di María","Argentina","LW",11,"PSG","RW",11,"08/06/2015",2019,86,"180 cm","75 kg","Left","02/14/1988",29,"RW/CAM"
55,"Diego Costa","Spain","ST",19,"Chelsea","ST",19,"07/15/2014",2019,86,"188 cm","85 kg","Right","10/07/1988",28,"ST"
56,"Edinson Cavani","Uruguay","RS",21,"PSG","ST",9,"07/16/2013",2018,86,"184 cm","71 kg","Right","02/14/1987",30,"ST"
57,"Radja Nainggolan","Belgium","Sub",16,"Roma","LF",4,"01/07/2014",2020,86,"176 cm","65 kg","Right","05/04/1988",28,"CM/CAM"
58,"Marcelo","Brazil","LB",16,"Real Madrid","LB",12,"01/01/2007",2020,86,"174 cm","75 kg","Left","05/12/1988",28,"LB"
59,"Claudio Marchisio","Italy",,,"Juventus","Sub",8,"06/01/2007",2020,86,"180 cm","75 kg","Right","01/19/1986",31,"CM/CDM"
60,"Miranda","Brazil","RCB",3,"Inter","RCB",25,"07/03/2015",2018,86,"186 cm","78 kg","Right","09/07/1984",32,"CB"
61,"Karim Benzema","France",,,"Real Madrid","ST",9,"07/01/2009",2019,86,"187 cm","79 kg","Right","12/19/1987",29,"ST"
62,"Cesc Fàbregas","Spain",,,"Chelsea","Sub",4,"07/01/2014",2019,86,"175 cm","74 kg","Right","05/04/1987",29,"CM/CAM"
63,"Franck Ribéry","France",,,"FC Bayern","Sub",7,"07/01/2007",2018,86,"170 cm","72 kg","Right","04/07/1983",33,"LM/LW"
64,"Santi Cazorla","Spain",,,"Arsenal","Sub",19,"08/07/2012",2018,86,"168 cm","66 kg","Right","12/13/1984",32,"CAM/CDM"
65,"Andrea Barzagli","Italy","RCB",15,"Juventus","Sub",15,"01/01/2011",2018,86,"187 cm","88 kg","Right","05/08/1981",35,"CB"
66,"Harry Kane","England","ST",9,"Spurs","RS",10,"07/01/2010",2022,85,"188 cm","86 kg","Right","07/28/1993",23,"ST"
67,"Alexandre Lacazette","France",,,"Olym. Lyonnais","ST",10,"07/01/2009",2019,85,"175 cm","73 kg","Right","05/28/1991",25,"ST"
68,"Keylor Navas","Costa Rica",,,"Real Madrid","GK",1,"08/04/2014",2020,85,"185 cm","78 kg","Right","12/15/1986",30,"GK"
69,"Romelu Lukaku","Belgium","ST",9,"Everton","ST",10,"07/30/2014",2019,85,"190 cm","94 kg","Left","05/13/1993",23,"ST"
70,"Christian Eriksen","Denmark","CM",10,"Spurs","CAM",23,"08/30/2013",2018,85,"180 cm","76 kg","Right","02/14/1992",25,"CAM/LM"
71,"Ilkay Gündogan","Germany",,,"Manchester City","Sub",8,"07/01/2016",2020,85,"180 cm","80 kg","Right","10/24/1990",26,"CM/CDM"
72,"Toby Alderweireld","Belgium","RCB",2,"Spurs","CB",4,"07/08/2015",2020,85,"187 cm","91 kg","Right","03/02/1989",28,"CB"
73,"Willian","Brazil","Sub",19,"Chelsea","Sub",22,"08/28/2013",2020,85,"175 cm","75 kg","Right","08/09/1988",28,"RM/CAM"
74,"Miralem Pjanic","Bosnia Herzegovina",,,"Juventus","RDM",5,"07/01/2016",2021,85,"180 cm","72 kg","Right","04/02/1990",26,"CM/CDM"
75,"Juan Mata","Spain",,,"Manchester Utd","Sub",8,"01/25/2014",2018,85,"170 cm","63 kg","Left","04/28/1988",28,"CAM/CM"
76,"Javi Martinez","Spain","Sub",4,"FC Bayern","RCB",8,"08/29/2012",2021,85,"190 cm","81 kg","Right","09/02/1988",28,"CB/CDM"
77,"Dimitri Payet","France","LM",8,"Olym. Marseille","LW",11,"01/29/2017",2021,85,"175 cm","77 kg","Right","03/29/1987",30,"LM/LW"
78,"Dries Mertens","Belgium","RF",14,"Napoli","ST",14,"07/01/2013",2018,85,"169 cm","61 kg","Right","05/06/1987",29,"LW/ST"
79,"Sokratis","Greece","RCB",19,"Bor. Dortmund","CB",25,"07/01/2013",2019,85,"186 cm","85 kg","Right","06/09/1988",28,"CB"
80,"Marek Hamšik","Slovakia",,,"Napoli","LCM",17,"07/01/2007",2020,85,"183 cm","79 kg","Right","07/27/1987",29,"CM"
81,"Blaise Matuidi","France","LDM",14,"PSG","LCM",14,"07/01/2011",2018,85,"175 cm","70 kg","Left","04/09/1987",29,"CDM/CM"
82,"Stéphane Ruffier","France",,,"AS Saint-Étienne","GK",16,"07/11/2011",2021,85,"188 cm","93 kg","Right","09/27/1986",30,"GK"
83,"Laurent Koscielny","France","RCB",21,"Arsenal","LCB",6,"07/07/2010",2020,85,"186 cm","75 kg","Right","09/10/1985",31,"CB"
84,"Filipe Luís","Brazil","Sub",6,"Atlético Madrid","LB",3,"07/29/2015",2019,85,"182 cm","77 kg","Left","08/09/1985",31,"LB"
85,"Vincent Kompany","Belgium","CB",3,"Manchester City","Sub",4,"08/22/2008",2019,85,"193 cm","85 kg","Right","04/10/1986",30,"CB"
86,"Aymeric Laporte","France",,,"Athletic Bilbao","LCB",4,"10/01/2012",2020,84,"189 cm","85 kg","Left","05/27/1994",22,"CB"
87,"Yannick Carrasco","Belgium","LM",18,"Atlético Madrid","LM",10,"07/10/2015",2022,84,"180 cm","66 kg","Right","09/04/1993",23,"LM/LW"
88,"Carvajal","Spain","RB",12,"Real Madrid","RB",2,"07/05/2013",2020,84,"173 cm","73 kg","Right","01/11/1992",25,"RB"
89,"Riyad Mahrez","Algeria",,,"Leicester City","RM",26,"01/11/2014",2020,84,"179 cm","62 kg","Left","02/21/1991",26,"RM/CAM"
90,"Raphaël Varane","France",,,"Real Madrid","Sub",5,"07/01/2011",2020,84,"191 cm","78 kg","Right","04/25/1993",23,"CB"
91,"Mauro Icardi","Argentina",,,"Inter","ST",9,"07/09/2013",2021,84,"181 cm","75 kg","Right","02/19/1993",24,"ST"
92,"Lorenzo Insigne","Italy","Sub",20,"Napoli","LW",24,"07/01/2010",2019,84,"163 cm","59 kg","Right","06/04/1991",25,"LW"
93,"Isco","Spain","Sub",22,"Real Madrid","Sub",22,"07/03/2013",2018,84,"176 cm","74 kg","Right","04/21/1992",24,"CM/RM"
94,"Koke","Spain","RCM",8,"Atlético Madrid","RM",6,"01/01/2011",2019,84,"178 cm","74 kg","Right","01/08/1992",25,"CM/RM"
95,"Kostas Manolas","Greece","LCB",4,"Roma","RCB",44,"08/26/2014",2019,84,"189 cm","83 kg","Right","06/14/1991",25,"CB"
96,"Danijel Subašic","Croatia",,,"AS Monaco","GK",1,"01/24/2012",2019,84,"191 cm","84 kg","Right","10/27/1984",32,"GK"
97,"Nicolás Otamendi","Argentina","RCB",17,"Manchester City","LCB",30,"08/20/2015",2020,84,"183 cm","81 kg","Right","02/12/1988",29,"CB"
98,"Shkodran Mustafi","Germany","Sub",2,"Arsenal","RCB",20,"08/30/2016",2021,84,"184 cm","82 kg","Right","04/17/1992",24,"CB"
99,"Nemanja Matic","Serbia",,,"Chelsea","LCM",21,"01/15/2014",2019,84,"194 cm","84 kg","Left","08/01/1988",28,"CDM/CM"
100,"Alex Sandro","Brazil",,,"Juventus","LB",12,"08/21/2015",2020,84,"181 cm","76 kg","Left","01/26/1991",26,"LB/LM"
101,"Kamil Glik","Poland","RCB",15,"AS Monaco","RCB",25,"07/06/2016",2020,84,"190 cm","80 kg","Right","02/03/1988",29,"CB"
102,"Douglas Costa","Brazil","Sub",7,"FC Bayern","LM",11,"07/01/2015",2020,84,"170 cm","65 kg","Left","09/14/1990",26,"LM/CAM"
103,"Kevin Strootman","Netherlands","CDM",6,"Roma","LCM",6,"07/16/2013",2018,84,"186 cm","78 kg","Left","02/13/1990",27,"CM/CDM"
104,"Nicolás Gaitán","Argentina",,,"Atlético Madrid","Sub",23,"07/01/2016",2020,84,"173 cm","68 kg","Left","02/23/1988",29,"LM"
105,"Bruno","Spain",,,"Villarreal CF","LCM",21,"07/01/2005",2020,84,"184 cm","73 kg","Left","06/12/1984",32,"CM"
106,"Ivan Perišic","Croatia",,,"Inter","LAM",44,"09/01/2015",2020,84,"186 cm","81 kg","Right","02/02/1989",28,"LM/CAM"
107,"David Luiz","Brazil",,,"Chelsea","CB",30,"08/31/2016",2019,84,"189 cm","84 kg","Right","04/22/1987",29,"CB"
108,"Sami Khedira","Germany","RDM",6,"Juventus","LDM",6,"07/01/2015",2019,84,"189 cm","93 kg","Right","04/04/1987",29,"CM/CDM"
109,"Benedikt Höwedes","Germany","Sub",4,"FC Schalke 04","RCB",4,"07/01/2007",2020,84,"187 cm","82 kg","Right","02/29/1988",29,"CB/RB"
110,"Ralf Fährmann","Germany",,,"FC Schalke 04","GK",1,"07/01/2011",2020,84,"196 cm","95 kg","Right","09/27/1988",28,"GK"
111,"Sergio Asenjo","Spain",,,"Villarreal CF","Sub",1,"06/30/2014",2022,84,"189 cm","87 kg","Right","06/28/1989",27,"GK"
112,"Éver Banega","Argentina","CAM",19,"Inter","CAM",19,"07/06/2016",2020,84,"174 cm","71 kg","Right","06/29/1988",28,"CAM"
113,"Medhi Benatia","Morocco",,,"Juventus","Sub",4,"08/26/2014",2019,84,"190 cm","96 kg","Right","04/17/1987",29,"CB"
114,"Steve Mandanda","France",,,"Crystal Palace","Sub",30,"07/01/2016",2019,84,"185 cm","82 kg","Right","03/28/1985",32,"GK"
115,"Dani Alves","Brazil","RB",2,"Juventus","Sub",23,"07/01/2016",2018,84,"172 cm","68 kg","Right","05/06/1983",33,"RB"
116,"Arda Turan","Turkey","RM",10,"FC Barcelona","Sub",7,"07/06/2015",2020,84,"177 cm","76 kg","Right","01/30/1987",30,"CM/LW"
117,"Javier Mascherano","Argentina","LCM",14,"FC Barcelona","Sub",14,"08/01/2010",2019,84,"174 cm","73 kg","Right","06/08/1984",32,"CB/CDM"
118,"Aduriz","Spain",,,"Athletic Bilbao","ST",20,"07/01/2012",2017,84,"182 cm","78 kg","Right","02/11/1981",36,"ST"
119,"Yaya Touré","Ivory Coast",,,"Manchester City","CDM",42,"07/02/2010",2017,84,"189 cm","90 kg","Right","05/13/1983",33,"CM/CDM"
120,"Eric Bailly","Ivory Coast","RCB",9,"Manchester Utd","RCB",3,"07/01/2016",2020,83,"187 cm","77 kg","Right","04/12/1994",22,"CB"
121,"José María Giménez","Uruguay","RCB",2,"Atlético Madrid","Sub",24,"07/01/2013",2018,83,"185 cm","80 kg","Right","01/20/1995",22,"CB"
122,"NGolo Kanté","France","RDM",13,"Chelsea","RCM",7,"07/16/2016",2021,83,"168 cm","68 kg","Right","03/29/1991",26,"CM/CDM"
123,"Gerónimo Rulli","Argentina",,,"Real Sociedad","GK",1,"01/01/2017",2022,83,"189 cm","80 kg","Right","05/20/1992",24,"GK"
124,"João Mário","Portugal","LM",10,"Inter","Sub",6,"08/28/2016",2021,83,"179 cm","73 kg","Right","01/19/1993",24,"CM/CAM"
125,"André Gomes","Portugal","CM",15,"FC Barcelona","Sub",21,"07/21/2016",2021,83,"188 cm","84 kg","Right","07/30/1993",23,"CM/CAM"
126,"Marquinhos","Brazil","LCB",13,"PSG","RCB",5,"07/19/2013",2019,83,"183 cm","75 kg","Right","05/14/1994",22,"CB/RB"
127,"Carlos Bacca","Colombia","ST",7,"Milan","ST",70,"07/10/2015",2020,83,"181 cm","77 kg","Right","09/08/1986",30,"ST"
128,"William Carvalho","Portugal","CDM",14,"Sporting CP","CDM",14,"01/01/2011",2020,83,"187 cm","83 kg","Right","04/07/1992",24,"CDM"
129,"Karim Bellarabi","Germany",,,"Bayer 04","RM",38,"07/01/2011",2021,83,"183 cm","80 kg","Right","04/08/1990",26,"RM"
130,"Raheem Sterling","England","RM",7,"Manchester City","RW",7,"07/14/2015",2020,83,"170 cm","69 kg","Right","12/08/1994",22,"RM/RW"
131,"Julian Draxler","Germany","LM",7,"PSG","LW",23,"01/03/2017",2021,83,"187 cm","72 kg","Right","09/20/1993",23,"CAM/LW"
132,"Roberto Firmino","Brazil","ST",21,"Liverpool","ST",11,"07/06/2015",2020,83,"181 cm","76 kg","Right","10/02/1991",25,"ST/CAM"
133,"Marcos Rojo","Argentina","LCB",16,"Manchester Utd","Sub",5,"08/20/2014",2019,83,"187 cm","80 kg","Left","03/20/1990",27,"CB/LB"
134,"Kalidou Koulibaly","Senegal",,,"Napoli","LCB",26,"07/01/2014",2019,83,"195 cm","89 kg","Right","06/20/1991",25,"CB"
135,"Danilo Pereira","Portugal","Sub",13,"FC Porto","CDM",22,"07/02/2015",2022,83,"188 cm","83 kg","Right","09/09/1991",25,"CDM"
136,"Timo Horn","Germany",,,"1. FC Köln","GK",1,"07/01/2011",2019,83,"192 cm","90 kg","Left","05/12/1993",23,"GK"
137,"Casemiro","Brazil","CDM",5,"Real Madrid","Sub",14,"07/11/2013",2021,83,"184 cm","80 kg","Right","02/23/1992",25,"CDM"
138,"Vitolo","Spain","Sub",20,"Sevilla FC","LM",20,"07/03/2013",2020,83,"184 cm","79 kg","Right","11/02/1989",27,"LM/RM"
139,"Anthony Lopes","Portugal","Sub",12,"Olym. Lyonnais","GK",1,"06/11/2010",2020,83,"184 cm","81 kg","Left","10/01/1990",26,"GK"
140,"Mattia Perin","Italy",,,"Genoa","Res",1,"01/01/2010",2019,83,"188 cm","74 kg","Right","11/10/1992",24,"GK"
141,"Joel Matip","Cameroon",,,"Liverpool","RCB",32,"07/01/2016",2020,83,"195 cm","90 kg","Right","08/08/1991",25,"CB"
142,"Juan Cuadrado","Colombia","RAM",11,"Juventus","RM",7,"02/02/2015",2019,83,"179 cm","71 kg","Right","05/26/1988",28,"RM/CAM"
143,"Iago Aspas","Spain","Sub",9,"Celta Vigo","RW",10,"07/01/2015",2020,83,"176 cm","67 kg","Left","08/01/1987",29,"ST/RW"
144,"Marc-André ter Stegen","Germany","Sub",22,"FC Barcelona","GK",1,"07/01/2014",2019,83,"187 cm","85 kg","Right","04/30/1992",24,"GK"
145,"Mario Götze","Germany",,,"Bor. Dortmund","Sub",10,"08/01/2016",2020,82,"176 cm","75 kg","Right","06/03/1992",24,"CM/CAM"
146,"Ander Herrera","Spain","Sub",17,"Manchester Utd","RCM",21,"06/26/2014",2018,83,"182 cm","73 kg","Right","08/14/1989",27,"CM/CDM"
147,"Javier Pastore","Argentina",,,"PSG","Sub",10,"08/01/2011",2019,83,"187 cm","78 kg","Right","06/20/1989",27,"CM/RW"
148,"Chris Smalling","England","Sub",15,"Manchester Utd","LCB",12,"07/01/2010",2019,83,"193 cm","90 kg","Right","11/22/1989",27,"CB"
149,"Pedro","Spain","RM",11,"Chelsea","RW",11,"08/20/2015",2019,83,"167 cm","62 kg","Right","07/28/1987",29,"RW/LW"
150,"Giacomo Bonaventura","Italy",,,"Milan","Res",5,"09/01/2014",2019,83,"181 cm","75 kg","Right","08/22/1989",27,"CM/LM"
151,"Roman Bürki","Switzerland","Sub",21,"Bor. Dortmund","GK",38,"07/01/2015",2019,83,"187 cm","85 kg","Right","11/14/1990",26,"GK"
152,"Oscar","Brazil","Sub",20,"Free Agents","Res",99,"01/01/2017",2020,83,"179 cm","67 kg","Right","09/09/1991",25,"CAM/LM"
153,"Steven NZonzi","France",,,"Sevilla FC","LDM",15,"07/09/2015",2020,83,"190 cm","75 kg","Right","12/15/1988",28,"CDM/CM"
154,"Aaron Ramsey","Wales","LCM",10,"Arsenal","Sub",8,"06/13/2008",2018,83,"183 cm","76 kg","Right","12/26/1990",26,"CM/RM"
155,"Mateo Musacchio","Argentina","Sub",15,"Villarreal CF","RCB",5,"07/01/2010",2018,83,"182 cm","75 kg","Right","08/26/1990",26,"CB"
156,"Ömer Toprak","Turkey","RCB",5,"Bayer 04","RCB",21,"07/01/2011",2018,83,"187 cm","83 kg","Right","07/21/1989",27,"CB"
157,"José Callejón","Spain",,,"Napoli","RW",7,"07/11/2013",2020,83,"178 cm","73 kg","Right","02/11/1987",30,"RW"
158,"Adrien Silva","Portugal",,,"Sporting CP","CM",23,"01/01/2007",2020,83,"175 cm","69 kg","Right","03/15/1989",28,"CM"
159,"Azpilicueta","Spain","Sub",2,"Chelsea","RCB",28,"08/24/2012",2020,83,"178 cm","75 kg","Right","08/28/1989",27,"CB/LB"
160,"Sebastian Giovinco","Italy",,,"Toronto FC","LS",10,"02/03/2015",2019,83,"164 cm","59 kg","Right","01/26/1987",30,"CF/ST"
161,"Anthony Modeste","France",,,"1. FC Köln","LS",27,"07/01/2015",2021,83,"187 cm","84 kg","Right","04/14/1988",28,"ST"
162,"Mario Mandžukic","Croatia",,,"Juventus","LM",17,"07/01/2015",2019,83,"190 cm","86 kg","Right","05/21/1986",30,"ST/LM"
163,"Adam Lallana","England","LM",11,"Liverpool","RCM",20,"07/01/2014",2021,83,"172 cm","73 kg","Right","05/10/1988",28,"CM"
164,"Olivier Giroud","France","ST",9,"Arsenal","Sub",12,"06/26/2012",2020,83,"192 cm","88 kg","Left","09/30/1986",30,"ST"
165,"Rui Patrício","Portugal","GK",1,"Sporting CP","GK",1,"06/01/2006",2022,83,"190 cm","84 kg","Left","02/15/1988",29,"GK"
166,"Yann Sommer","Switzerland","GK",1,"Bor. Mgladbach","GK",1,"07/01/2014",2019,83,"183 cm","79 kg","Right","12/17/1988",28,"GK"
167,"Jonas","Brazil",,,"SL Benfica","LS",10,"09/12/2014",2019,83,"181 cm","75 kg","Right","04/01/1984",32,"ST"
168,"Kévin Gameiro","France","Sub",10,"Atlético Madrid","LS",21,"07/30/2016",2020,83,"173 cm","70 kg","Right","05/09/1987",29,"ST"
169,"Claudio Bravo","Chile","GK",1,"Manchester City","Sub",1,"08/25/2016",2020,83,"184 cm","80 kg","Right","04/13/1983",33,"GK"
170,"Lukasz Piszczek","Poland","RB",20,"Bor. Dortmund","RCB",26,"07/01/2010",2018,83,"184 cm","78 kg","Right","06/03/1985",31,"RB/CB"
171,"Jan Vertonghen","Belgium","LCB",5,"Spurs","LCB",5,"07/01/2012",2019,83,"189 cm","88 kg","Left","04/24/1987",29,"CB"
172,"Asmir Begovic","Bosnia Herzegovina",,,"Chelsea","Sub",1,"07/13/2015",2019,83,"200 cm","83 kg","Right","06/20/1987",29,"GK"
173,"Naldo","Brazil",,,"FC Schalke 04","Sub",29,"07/01/2016",2018,83,"198 cm","91 kg","Right","09/10/1982",34,"CB"
174,"Daniel Sturridge","England",,,"Liverpool","Sub",15,"01/02/2013",2019,83,"180 cm","76 kg","Left","09/01/1989",27,"ST/RW"
175,"José Fonte","Portugal","LCB",6,"West Ham","RCB",23,"01/20/2017",2019,83,"187 cm","81 kg","Right","12/22/1983",33,"CB"
176,"Ezequiel Garay","Argentina",,,"Valencia CF","RCB",24,"08/31/2016",2020,83,"188 cm","77 kg","Right","10/10/1986",30,"CB"
177,"Samir Nasri","France",,,"Sevilla FC","CAM",10,"08/24/2011",2019,83,"175 cm","75 kg","Right","06/26/1987",29,"LM/CM/CAM"
178,"Gary Cahill","England","LCB",5,"Chelsea","LCB",24,"01/16/2012",2019,83,"193 cm","86 kg","Right","12/19/1985",31,"CB"
179,"Ashley Williams","Wales","CB",6,"Everton","LCB",5,"08/10/2016",2019,83,"182 cm","91 kg","Right","08/23/1984",32,"CB"
180,"Leighton Baines","England",,,"Everton","LB",3,"08/07/2007",2019,83,"170 cm","70 kg","Left","12/11/1984",32,"LB"
181,"Kasper Schmeichel","Denmark","GK",1,"Leicester City","GK",1,"06/01/2011",2021,83,"185 cm","76 kg","Right","11/05/1986",30,"GK"
182,"Borja Valero","Spain",,,"Fiorentina","RF",20,"08/01/2012",2019,83,"175 cm","73 kg","Right","01/12/1985",32,"CAM/CF"
